# Name,CASRN,Acronym,Formula,Lifetime,Radiative_efficiency,AGWP20,GWP20,AGWP100,GWP100,AGWP500,GWP500,AGTP50,GTP50,AGTP100,GTP100,CGTP50,CGTP100
(4R:5R)-1:1:2:2:3:3:4:5-octafl,          158389-18-5,                     ,  trans-cyc (-CF2CF2CF2CHFCHF-), 3.200, 0.259, 2.25083e-11, 924.888, 2.30889e-11, 258.077, 2.30950e-11, 73.598, 2.49090e-14, 58.239, 1.85865e-14, 47.102, 26310.005, 31199.824
1-Butene: 1:3:4:4:4-pentafluor,           14149-41-8,       HFO-1438ezy(E),             (E)-(CF3)2CFCH=CHF, 0.334, 0.079, 7.20730e-13, 29.615, 7.35558e-13, 8.222, 7.35626e-13, 2.344, 7.72645e-16, 1.806, 5.85144e-16, 1.483, 843.450, 998.190
1-Pentene: 3:3:4:4:5:5:5-hepta,             355-08-8,           HFO-1447fz,                CF3(CF2)2CH=CH2, 0.025, 0.028, 2.06124e-14, 0.847, 2.10292e-14, 0.235, 2.10328e-14, 0.067, 2.20233e-17, 0.051, 1.67116e-17, 0.042, 24.137, 28.560
1:3:3:4:4-pentafluorocyclobute,             374-31-2,                     ,            cyc (-CH=CFCF2CF2-), 0.740, 0.270, 8.09903e-12, 332.797, 8.26890e-12, 92.426, 8.26982e-12, 26.354, 8.71621e-15, 20.379, 6.58867e-15, 16.697, 9473.448, 11214.485
3:3:4:4-tetrafluorocyclobutene,            2714-38-7,                     ,            cyc (-CH=CHCF2CF2-), 0.230, 0.210, 2.24022e-12, 92.053, 2.28609e-12, 25.553, 2.28629e-12, 7.286, 2.39920e-15, 5.609, 1.81786e-15, 4.607, 2622.028, 3102.855
         1:1:1-Trichloroethane,              71-55-6,    Methyl chloroform,                        CH3CCl3, 5.000, 0.065, 1.38032e-11, 567.187, 1.44251e-11, 161.237, 1.44308e-11, 45.987, 1.60254e-14, 37.468, 1.17047e-14, 29.662, 16367.902, 19439.882
            Tetrachloromethane,              56-23-5, Carbon tetrachloride,                           CCl4, 32.000, 0.166, 9.27042e-11, 3809.305, 1.96441e-10, 2195.723, 2.06361e-10, 657.619, 8.49283e-13, 1985.681, 3.19700e-13, 810.192,   nan,   nan
                 Chloromethane,              74-87-3,      Methyl chloride,                          CH3Cl, 0.900, 0.005, 4.85154e-13, 19.935, 4.95408e-13, 5.537, 4.95468e-13, 1.579, 5.22938e-16, 1.223, 3.94998e-16, 1.001, 567.380, 671.726
               Dichloromethane,              75-09-2,   Methylene chloride,                         CH2Cl2, 0.493, 0.029, 9.77883e-13, 40.182, 9.98154e-13, 11.157, 9.98253e-13, 3.181, 1.04991e-15, 2.455, 7.94544e-16, 2.014, 1144.166, 1354.219
              Trichloromethane,              67-66-3,           Chloroform,                          CHCl3, 0.501, 0.074, 1.80558e-12, 74.193, 1.84303e-12, 20.601, 1.84321e-12, 5.874, 1.93873e-15, 4.533, 1.46712e-15, 3.718, 2112.591, 2500.446
