Name,CAS,Acronym,Formula,Lifetime (yr),Radiative efficiency (W m-2 ppb-1),AGWP20 (W m-2 yr kg-1),GWP20,AGWP100 (W m-2 yr kg-1),GWP100,AGWP500 (W m-2 yr kg-1),GWP500,AGTP50 (K kg-1),GTP50,AGTP100 (K kg-1),GTP100,CGTP50 (yr),CGTP100 (yr)
"1,1-difluoroethene","=""75-38-7""",HFO-1132a,CH2=CF2,0.013,0.004,4.6e-15,0.189,4.69e-15,0.052,4.69e-15,0.015,4.91e-18,0.011,3.73e-18,0.009,5.39,6.37
Fluoroethene,"=""75-02-5""",HFO-1141,CH2=CHF,0.007,0.002,2.13e-15,0.088,2.17e-15,0.024,2.17e-15,0.007,2.28e-18,0.005,1.73e-18,0.004,2.5,2.95
"(z)-1,2,3,3,3-pentafluoroprop-1-ene","=""5528-43-8""",HFO-1225ye(Z),(Z)-CF3CF=CHF,0.027,0.025,3.02e-14,1.24,3.08e-14,0.344,3.08e-14,0.098,3.23e-17,0.075,2.45e-17,0.062,35.3,41.8
"(e)-1,2,3,3,3-pentafluoroprop-1-ene","=""5595-10-8""",HFO-1225ye(E),(E)-CF3CF=CHF,0.016,0.015,1.04e-14,0.426,1.06e-14,0.118,1.06e-14,0.034,1.11e-17,0.026,8.41e-18,0.021,12.1,14.4
"(z)-1,3,3,3-tetrafluoroprop-1-ene","=""29118-25-0""",HFO-1234ze(Z),(Z)-CF3CH=CHF,0.027,0.02,2.76e-14,1.13,2.81e-14,0.315,2.82e-14,0.09,2.95e-17,0.069,2.24e-17,0.057,32.3,38.2
"(e)-1,3,3,3-tetrafluoroprop-1-ene","=""29118-24-9""",HFO-1234ze(E),(E)-CF3CH=CHF,0.052,0.045,1.2e-13,4.94,1.23e-13,1.37,1.23e-13,0.391,1.28e-16,0.3,9.75e-17,0.247,141.0,167.0
"2,3,3,3-tetrafluoroprop-1-ene","=""754-12-1""",HFO-1234yf,CF3CF=CH2,0.033,0.026,4.4e-14,1.81,4.49e-14,0.501,4.49e-14,0.143,4.7e-17,0.11,3.56e-17,0.09,51.5,60.9
"(e)-1,1,1,4,4,4-hexafluorobut-2-ene","=""66711-86-2""",HFO-1336mzz(E),(E)-CF3CH=CHCF3,0.334,0.132,1.57e-12,64.3,1.6e-12,17.9,1.6e-12,5.09,1.68e-15,3.92,1.27e-15,3.22,1830.0,2170.0
"(z)-1,1,1,4,4,4-hexafluorobut-2-ene","=""692-49-9""",HFO-1336mzz(Z),(Z)-CF3CH=CHCF3,0.074,0.069,1.82e-13,7.48,1.86e-13,2.08,1.86e-13,0.592,1.95e-16,0.455,1.48e-16,0.374,213.0,252.0
"3,3,3-trifluoroprop-1-ene","=""677-21-4""",HFO-1243zf,CF3CH=CH2,0.025,0.015,2.29e-14,0.94,2.33e-14,0.261,2.34e-14,0.074,2.45e-17,0.057,1.86e-17,0.047,26.8,31.7
